Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,33896,-,-,-,28.65,77.25,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Snow Depth,Wind Speed,
2008,1,1,0,0,0,0,0,0,4,N/A
2008,1,1,1,0,0,0,0,0,4,N/A
2008,1,1,2,0,0,0,0,0,3.9000000000000004,N/A
2008,1,1,3,0,0,0,0,0,3.7,N/A
2008,1,1,4,0,0,0,0,0,3.6,N/A
2008,1,1,5,0,0,0,0,0,3,N/A
2008,1,1,6,0,0,0,0,0,3,N/A
2008,1,1,7,0,7,0,7,0,2.9000000000000004,N/A
2008,1,1,8,0,106,289,174,0,2.5,N/A
2008,1,1,9,0,155,503,355,0,1.9000000000000001,N/A
2008,1,1,10,0,182,609,500,0,2.2,N/A
2008,1,1,11,0,195,664,592,0,2.3000000000000003,N/A
2008,1,1,12,0,199,679,620,0,2.1,N/A
2008,1,1,13,0,194,653,578,0,1.9000000000000001,N/A
2008,1,1,14,0,178,593,476,0,1.8,N/A
2008,1,1,15,0,156,452,323,0,1.7000000000000002,N/A
2008,1,1,16,0,96,168,130,0,1.7000000000000002,N/A
2008,1,1,17,0,0,0,0,0,1.8,N/A
2008,1,1,18,0,0,0,0,0,1.9000000000000001,N/A
2008,1,1,19,0,0,0,0,0,2,N/A
2008,1,1,20,0,0,0,0,0,2.3000000000000003,N/A
2008,1,1,21,0,0,0,0,0,2.7,N/A
2008,1,1,22,0,0,0,0,0,3,N/A
2008,1,1,23,0,0,0,0,0,3.1,N/A
2008,1,2,0,0,0,0,0,0,3.1,N/A
2008,1,2,1,0,0,0,0,0,2.9000000000000004,N/A
2008,1,2,2,0,0,0,0,0,2.8000000000000003,N/A
2008,1,2,3,0,0,0,0,0,2.6,N/A
2008,1,2,4,0,0,0,0,0,2.5,N/A
2008,1,2,5,0,0,0,0,0,2.5,N/A
2008,1,2,6,0,0,0,0,0,2.7,N/A
2008,1,2,7,0,6,0,6,0,2.8000000000000003,N/A
2008,1,2,8,0,106,287,173,0,2.5,N/A
2008,1,2,9,0,155,502,355,0,2.1,N/A
2008,1,2,10,0,200,537,481,0,2.3000000000000003,N/A
